"PostOfficeName","Pincode","City","District","State"
"Rustumbada","534271","West Godavari","West Godavari","Andhra Pradesh"
"Vemavaram","534272","West Godavari","West Godavari","Andhra Pradesh"
"College Street","534275","West Godavari","West Godavari","Andhra Pradesh"
"Ferry Road","534275","West Godavari","West Godavari","Andhra Pradesh"
"Narsapur Bazar","534275","West Godavari","West Godavari","Andhra Pradesh"
"Sivalayan Street","534275","West Godavari","West Godavari","Andhra Pradesh"
"Sita Ram Puram","534280","West Godavari","West Godavari","Andhra Pradesh"
"Mogalthur","534281","West Godavari","West Godavari","Andhra Pradesh"
"L B Cherla","534291","West Godavari","West Godavari","Andhra Pradesh"
"Bhimavaram Bazar","534301","West Godavari","West Godavari","Andhra Pradesh"
"Bhimeswarlayam","534301","West Godavari","West Godavari","Andhra Pradesh"
"Ndvl Old Town","534301","West Godavari","West Godavari","Andhra Pradesh"
"Nidadavole","534301","Nidadavole","West Godavari","Andhra Pradesh"
"Ramnagar","534301","West Godavari","West Godavari","Andhra Pradesh"
"Rest House Road","534301","West Godavari","West Godavari","Andhra Pradesh"
"Someswaralayam","534301","West Godavari","West Godavari","Andhra Pradesh"
"Wednesday Market","534301","West Godavari","West Godavari","Andhra Pradesh"
"Samsra Gudem","534302","West Godavari","West Godavari","Andhra Pradesh"
"Ramnagar","534303","West Godavari","West Godavari","Andhra Pradesh"
"Tadimalla","534305","West Godavari","West Godavari","Andhra Pradesh"
"Kannapuram","534311","West Godavari","West Godavari","Andhra Pradesh"
"Koyyala Gudem","534312","West Godavari","West Godavari","Andhra Pradesh"
"Devara Palli","534313","West Godavari","West Godavari","Andhra Pradesh"
"Dippakayalapudu","534314","West Godavari","West Godavari","Andhra Pradesh"
"Pola Varam","534315","West Godavari","West Godavari","Andhra Pradesh"
"Gopala Puram","534316","West Godavari","West Godavari","Andhra Pradesh"
"Penu Gonda","534320","West Godavari","West Godavari","Andhra Pradesh"
"Penugonda Bazar","534320","West Godavari","West Godavari","Andhra Pradesh"
"Sidhantam","534326","West Godavari","West Godavari","Andhra Pradesh"
"Poduru","534327","West Godavari","West Godavari","Andhra Pradesh"
"Peravali","534328","West Godavari","West Godavari","Andhra Pradesh"
"Kanuru","534329","Kanuru","West Godavari","Andhra Pradesh"
"Khanda Valli","534330","West Godavari","West Godavari","Andhra Pradesh"
"Kakara Parru","534331","West Godavari","West Godavari","Andhra Pradesh"
"Ajjaram","534339","West Godavari","West Godavari","Andhra Pradesh"
"Vegeswara Puram","534340","West Godavari","West Godavari","Andhra Pradesh"
"Talla Pudi","534341","West Godavari","West Godavari","Andhra Pradesh"
"Chagallu","534342","West Godavari","West Godavari","Andhra Pradesh"
"Gutala","534343","West Godavari","West Godavari","Andhra Pradesh"
"Gowtami Nagar","534350","West Godavari","West Godavari","Andhra Pradesh"
"Kovvur","534350","Kovvur","West Godavari","Andhra Pradesh"
"Kovvur Old Town","534350","West Godavari","West Godavari","Andhra Pradesh"
"Rtc Bus Stand","534350","West Godavari","West Godavari","Andhra Pradesh"
"Dommeru","534351","Dommeru","West Godavari","Andhra Pradesh"
"Kumaradevam","534352","West Godavari","West Godavari","Andhra Pradesh"
"Gollavani Tippa","534362","West Godavari","West Godavari","Andhra Pradesh"
"D Muppavaram Dronamraju","534390","West Godavari","West Godavari","Andhra Pradesh"
"Purshothapalli","534392","West Godavari","West Godavari","Andhra Pradesh"
"Pulla","534401","West Godavari","West Godavari","Andhra Pradesh"
"Narayana Puram","534407","West Godavari","West Godavari","Andhra Pradesh"
"Vungutur","534411","West Godavari","West Godavari","Andhra Pradesh"
"Kaikaram","534416","West Godavari","West Godavari","Andhra Pradesh"
"Dwaraka Tirumala","534426","West Godavari","West Godavari","Andhra Pradesh"
"Gundugolanu","534427","Gundugolanu","West Godavari","Andhra Pradesh"
"M Nagula Palli","534429","West Godavari","West Godavari","Andhra Pradesh"
"Naidugudem","534437","West Godavari","West Godavari","Andhra Pradesh"
"Peda Padu","534437","West Godavari","West Godavari","Andhra Pradesh"
"Janga Reddi Gudem","534447","Karimnagar","Karimnagar","Andhra Pradesh"
"Jangareddi Gudem Bazar","534447","Karimnagar","Karimnagar","Andhra Pradesh"
"Buttayagudem","534448","Warangal","Warangal","Andhra Pradesh"
"Kamavarapu Kota","534449","West Godavari","West Godavari","Andhra Pradesh"
"Gopanna Palem","534450","West Godavari","West Godavari","Andhra Pradesh"
"Lakkavaram","534451","West Godavari","West Godavari","Andhra Pradesh"
"Thadi Kala Pudi","534452","West Godavari","West Godavari","Andhra Pradesh"
"Jeelugu Milli","534456","West Godavari","West Godavari","Andhra Pradesh"
"Velagalapalli","534459","West Godavari","West Godavari","Andhra Pradesh"
"Chintala Pudi","534460","West Godavari","West Godavari","Andhra Pradesh"
"Pragada Varam","534461","West Godavari","West Godavari","Andhra Pradesh"
"Dharmaji Gudem","534462","West Godavari","West Godavari","Andhra Pradesh"
"Kondrukota","534483","Warangal","Warangal","Andhra Pradesh"
"Chinnava Gudem","534486","West Godavari","West Godavari","Andhra Pradesh"
"Bangalore Bazar","560001","Bangalore","Bangalore","Karnataka"
"Bangalore G P O","560001","Bangalore","Bangalore","Karnataka"
"Brigade Road","560001","Bangalore","Bangalore","Karnataka"
"Cubbon Road","560001","Bangalore","Bangalore","Karnataka"
"High Court","560001","Bangalore","Bangalore","Karnataka"
"Legalators Home","560001","Bangalore","Bangalore","Karnataka"
"Madhavanagar","560001","Bangalore","Bangalore","Karnataka"
"Mahatma Gandhi Road","560001","Bangalore","Bangalore","Karnataka"
"Mueseum Road","560001","Bangalore","Bangalore","Karnataka"
"Narayanapillai Street","560001","Bangalore","Bangalore","Karnataka"
"Plain Street","560001","Bangalore","Bangalore","Karnataka"
"Quadrant Square","560001","Bangalore","Bangalore","Karnataka"
"Rajbhavan","560001","Bangalore","Bangalore","Karnataka"
"Seppings Road","560001","Bangalore","Bangalore","Karnataka"
"Vidhana Soudha","560001","Bangalore","Bangalore","Karnataka"
"Vidhana Veedhi","560001","Bangalore","Bangalore","Karnataka"
"Avenue Road","560002","Bangalore","Bangalore","Karnataka"
"Bangalore","560002","Bangalore","Bangalore","Karnataka"
"Bangalore City H.O","560002","Bangalore","Bangalore","Karnataka"
"Bangalore Fort","560002","Bangalore","Bangalore","Karnataka"
"Banglore Corporation Buildings","560002","Bangalore","Bangalore","Karnataka"
"Basavaraja Market","560002","Bangalore","Bangalore","Karnataka"
"Chamarajendrapeta","560002","Bangalore","Bangalore","Karnataka"
"H Siddiah Road","560002","Bangalore","Bangalore","Karnataka"
"Kalasipalyam","560002","Bangalore","Bangalore","Karnataka"
"Market","560002","Bangalore","Bangalore","Karnataka"
"Nagrtharpet","560002","Bangalore","Bangalore","Karnataka"
"Narsimharaja Road","560002","Bangalore","Bangalore","Karnataka"
"New Tharagpet","560002","Bangalore","Bangalore","Karnataka"
"Rajendra Road","560002","Bangalore","Bangalore","Karnataka"
"Sri Jayachama","560002","Bangalore","Bangalore","Karnataka"
"Sri Krishnarajendra","560002","Bangalore","Bangalore","Karnataka"
"Aranya Bhavan","560003","Bangalore","Bangalore","Karnataka"
"Eng College","560003","Bangalore","Bangalore","Karnataka"
"Extension","560003","Bangalore","Bangalore","Karnataka"
"Malleswaram","560003","Bangalore","Bangalore","Karnataka"
"Malleswaram Circle","560003","Bangalore","Bangalore","Karnataka"
"Pipe Line Extension","560003","Bangalore","Bangalore","Karnataka"
"Swimming Pool","560003","Bangalore","Bangalore","Karnataka"
"Venkatarangapura","560003","Bangalore","Bangalore","Karnataka"
"Vyalikaval Extn","560003","Bangalore","Bangalore","Karnataka"
"Basavanagudi H.O.","560004","Bangalore","Bangalore","Karnataka"
"Basavanaguid East","560004","Bangalore","Bangalore","Karnataka"
"Bull Temple Road","560004","Bangalore","Bangalore","Karnataka"
"Lalbagh West","560004","Bangalore","Bangalore","Karnataka"
"Mavalli","560004","Bangalore","Bangalore","Karnataka"
"Pampamahakavi Road","560004","Bangalore","Bangalore","Karnataka"
"Shankarapura","560004","Bangalore","Bangalore","Karnataka"
"South Public Square","560004","Bangalore","Bangalore","Karnataka"
"Sri Krisharajendra Road","560004","Bangalore","Bangalore","Karnataka"
"Visweswarapuram","560004","Bangalore","Bangalore","Karnataka"
"Cox Town","560005","Bangalore","Bangalore","Karnataka"
"Fraser Town","560005","Bangalore","Bangalore","Karnataka"
"Jeevanahalli","560005","Bangalore","Bangalore","Karnataka"
"Pillanna Gardens","560005","Bangalore","Bangalore","Karnataka"
"Munireddy Palya","560006","Bangalore","Bangalore","Karnataka"
"Mysore Lancers Lines","560006","Bangalore","Bangalore","Karnataka"
"Trg Command I A F","560006","Bangalore","Bangalore","Karnataka"
"A F Hospital","560007","Bangalore","Bangalore","Karnataka"
"Agaram","560007","Bangalore","Bangalore","Karnataka"
"Artillery Road","560008","Bangalore","Bangalore","Karnataka"
"Someshwarapura","560008","Bangalore","Bangalore","Karnataka"
"Ulsoor","560008","Bangalore","Bangalore","Karnataka"
"Ulsoor Bazar","560008","Bangalore","Bangalore","Karnataka"
"Bangalore Dist Office Bui","560009","Bangalore","Bangalore","Karnataka"
"Gandhi Krishi","560009","Bangalore","Bangalore","Karnataka"
"Gandhi Nagar","560009","Bangalore","Bangalore","Karnataka"
"Kempegowda Road","560009","Bangalore","Bangalore","Karnataka"
"N S Bureau","560009","Bangalore","Bangalore","Karnataka"
"Subashnagar","560009","Bangalore","Bangalore","Karnataka"
"Circle","560010","Bangalore","Bangalore","Karnataka"
"Industrial Suburb","560010","Bangalore","Bangalore","Karnataka"
"North Zone","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar Bhashyam","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar I Block","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar Iv Block","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar North","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar Vi Block","560010","Bangalore","Bangalore","Karnataka"
"Rajajinagar West","560010","Bangalore","Bangalore","Karnataka"
"Byasandra","560011","Bangalore","Bangalore","Karnataka"
"Jayanagar","560011","Bangalore","Bangalore","Karnataka"
"Madhavanpark","560011","Bangalore","Bangalore","Karnataka"
"Science Institute","560012","Bangalore","Bangalore","Karnataka"
"Jalahalli","560013","Bangalore","Bangalore","Karnataka"
"Jalahalli Villageso","560013","Bangalore","Bangalore","Karnataka"
"Jalahalli East","560014","Bangalore","Bangalore","Karnataka"
"Jalahalli West","560015","Bangalore","Bangalore","Karnataka"
"Kamagondanahalli","560015","Bangalore","Bangalore","Karnataka"
"Doorvaninagar","560016","Bangalore","Bangalore","Karnataka"
"Dorrvaninagar East","560016","Bangalore","Bangalore","Karnataka"
"Krishnarajapura R S","560016","Bangalore","Bangalore","Karnataka"
"Ramamurthynagar","560016","Bangalore","Bangalore","Karnataka"
"Bangalore Airport H A L","560017","Bangalore","Bangalore","Karnataka"
"Vimanapura","560017","Bangalore","Bangalore","Karnataka"
"Chamarajpet Bazar","560018","Bangalore","Bangalore","Karnataka"
"Chamrapet West","560018","Bangalore","Bangalore","Karnataka"
"Vittalnagar","560018","Bangalore","Bangalore","Karnataka"
"Gavipurm Extn","560019","Bangalore","Bangalore","Karnataka"
"Gavipurm Guttaballi","560019","Bangalore","Bangalore","Karnataka"
"Narasimbaraja Colony","560019","Bangalore","Bangalore","Karnataka"
"Kumara Park West Extn","560020","Bangalore","Bangalore","Karnataka"
"Palace Guttahalli","560020","Bangalore","Bangalore","Karnataka"
"Seshadri Puram","560020","Bangalore","Bangalore","Karnataka"
"Gayatri Nagar","560021","Bangalore","Bangalore","Karnataka"
"Okalipuram","560021","Bangalore","Bangalore","Karnataka"
"Prakash Nagar","560021","Bangalore","Bangalore","Karnataka"
"Ramachandra Puram","560021","Bangalore","Bangalore","Karnataka"
"Srirampuram","560021","Bangalore","Bangalore","Karnataka"
"Goreguntapalya","560022","Bangalore","Bangalore","Karnataka"
"Kanteeravanagar","560022","Bangalore","Bangalore","Karnataka"
"Yeshwantpur","560022","Bangalore","Bangalore","Karnataka"
"Yeshwantpur Bazar","560022","Bangalore","Bangalore","Karnataka"
"Kempapura Agrahara","560023","Bangalore","Bangalore","Karnataka"
"Magadi Road","560023","Bangalore","Bangalore","Karnataka"
"Anand Nagar","560024","Bangalore","Bangalore","Karnataka"
"Extn Iistage","560024","Bangalore","Bangalore","Karnataka"
"Hebbal Agricultural Farm","560024","Bangalore","Bangalore","Karnataka"
"Rajmahalvilas","560024","Bangalore","Bangalore","Karnataka"
"C M P Centre & School","560025","Bangalore","Bangalore","Karnataka"
"Langford Town","560025","Bangalore","Bangalore","Karnataka"
"Residency Road","560025","Bangalore","Bangalore","Karnataka"
"Richmond Town","560025","Bangalore","Bangalore","Karnataka"
"Bapuji Nagar","560026","Bangalore","Bangalore","Karnataka"
"Deepanjal Nagar","560026","Bangalore","Bangalore","Karnataka"
"Goripalya","560026","Bangalore","Bangalore","Karnataka"
"Govt Electric Factory","560026","Bangalore","Bangalore","Karnataka"
"Sampangiramnagar","560027","Bangalore","Bangalore","Karnataka"
"Shanthinagar","560027","Bangalore","Bangalore","Karnataka"
"Sudhamnagar","560027","Bangalore","Bangalore","Karnataka"
"Wilson Garden","560027","Bangalore","Bangalore","Karnataka"
"Tyagarajanagar","560028","Bangalore","Bangalore","Karnataka"
"Dharmaram College","560029","Bangalore","Bangalore","Karnataka"
"S D S Sanitorim","560029","Bangalore","Bangalore","Karnataka"
"Adugodi","560030","Bangalore","Bangalore","Karnataka"
"Hosur Road","560030","Bangalore","Bangalore","Karnataka"
"Hmt Bangalore","560031","Bangalore","Bangalore","Karnataka"
"Hmt Watch Factory","560031","Bangalore","Bangalore","Karnataka"
"Gangenahalli Extn","560032","Bangalore","Bangalore","Karnataka"
"Kaval Byrasandra","560032","Bangalore","Bangalore","Karnataka"
"P&T Colony","560032","Bangalore","Bangalore","Karnataka"
"Ravindranath Tagore","560032","Bangalore","Bangalore","Karnataka"
"Malkand Lines","560033","Bangalore","Bangalore","Karnataka"
"Mandalay Lines","560033","Bangalore","Bangalore","Karnataka"
"Marutisevanagar","560033","Bangalore","Bangalore","Karnataka"
"Koramangala","560034","Bangalore","Bangalore","Karnataka"
"Koramangala I Block","560034","Bangalore","Bangalore","Karnataka"
"Koramangala V Block","560034","Bangalore","Bangalore","Karnataka"
"Koramangala Vii Block","560034","Bangalore","Bangalore","Karnataka"
"St Johns Medical College","560034","Bangalore","Bangalore","Karnataka"
"Carmelaram","560035","Bangalore","Bangalore","Karnataka"
"Krisnarajapuram","560036","Bangalore","Bangalore","Karnataka"
"Marathahalli Colony","560037","Bangalore","Bangalore","Karnataka"
"Ramesh Nagar","560037","Bangalore","Bangalore","Karnataka"
"Binnamangala Ii","560038","Bangalore","Bangalore","Karnataka"
"Byappanahalli","560038","Bangalore","Bangalore","Karnataka"
"Commercial Complex","560038","Bangalore","Bangalore","Karnataka"
"Hal Ii Stage","560038","Bangalore","Bangalore","Karnataka"
"Indira Nagar","560038","Bangalore","Bangalore","Karnataka"
"Indira Nagar","560038","Bangalore","Bangalore","Karnataka"
"Nayandahalli","560039","Bangalore","Bangalore","Karnataka"
"R P C Layout North","560040","Bangalore","Bangalore","Karnataka"
"Vijayanagar","560040","Bangalore","Bangalore","Karnataka"
"Vijayanagar East","560040","Bangalore","Bangalore","Karnataka"
"Jayanagar South","560041","Bangalore","Bangalore","Karnataka"
"Jayanagar T Block","560041","Bangalore","Bangalore","Karnataka"
"Tilak Nagar","560041","Bangalore","Bangalore","Karnataka"
"K Kamraj Road","560042","Bangalore","Bangalore","Karnataka"
"Meanee Lines","560042","Bangalore","Bangalore","Karnataka"
"Sivanchetty Garden","560042","Bangalore","Bangalore","Karnataka"
"Banaswadi","560043","Bangalore","Bangalore","Karnataka"
"Kalyana Nagar","560043","Bangalore","Bangalore","Karnataka"
"Kalyana Nagar","560043","Bangalore","Bangalore","Karnataka"
"Bangalore","560044","Bangalore","Bangalore","Karnataka"
"Arabic College","560045","Bangalore","Bangalore","Karnataka"
"Devarjeevanalli","560045","Bangalore","Bangalore","Karnataka"
"Venkateshpura","560045","Bangalore","Bangalore","Karnataka"
"Benson Town","560046","Bangalore","Bangalore","Karnataka"
"Chinnappa Gardens","560046","Bangalore","Bangalore","Karnataka"
"Jayamahal Extn","560046","Bangalore","Bangalore","Karnataka"
"Williams Towm","560046","Bangalore","Bangalore","Karnataka"
"Austin Town","560047","Bangalore","Bangalore","Karnataka"
"Neelasandra","560047","Bangalore","Bangalore","Karnataka"
"Ookadapalyam","560047","Bangalore","Bangalore","Karnataka"
"Viveknagar","560047","Bangalore","Bangalore","Karnataka"
"Mahadevapura","560048","Mahadevapura","Bangalore","Karnataka"
"Virgonagar","560049","Bangalore","Bangalore","Karnataka"
"Ashok Nagar","560050","Bangalore","Bangalore","Karnataka"
"Banashankari","560050","Bangalore","Bangalore","Karnataka"
"Dasarahalli","560050","Dasarahalli","Bangalore","Karnataka"
"State Bank Of Mysore","560050","Bangalore","Bangalore","Karnataka"
"Arunachalam Mudaliar Street","560051","Bangalore","Bangalore","Karnataka"
"Balappa A Street","560051","Bangalore","Bangalore","Karnataka"
"Balappa A Street","560051","Bangalore","Bangalore","Karnataka"
"Broadway Road Cross","560051","Bangalore","Bangalore","Karnataka"
"Butachens Street","560051","Bangalore","Bangalore","Karnataka"
"Charminar Mosquee Road","560051","Bangalore","Bangalore","Karnataka"
"Cockburn Road","560051","Bangalore","Bangalore","Karnataka"
"Colonel Hill Road","560051","Bangalore","Bangalore","Karnataka"
"Curva Road","560051","Bangalore","Bangalore","Karnataka"
"Jain Temple Street","560051","Bangalore","Bangalore","Karnataka"
"Lalmasjid Street","560051","Bangalore","Bangalore","Karnataka"
"Meenakshi Koil Street","560051","Bangalore","Bangalore","Karnataka"
"Milkmans Street","560051","Bangalore","Bangalore","Karnataka"
"New Market Road","560051","Bangalore","Bangalore","Karnataka"
"Noronha Road","560051","Bangalore","Bangalore","Karnataka"
"Old Cemetry Road","560051","Bangalore","Bangalore","Karnataka"
"Old Poor House Road","560051","Bangalore","Bangalore","Karnataka"
"Park Road","560051","Bangalore","Bangalore","Karnataka"
"Pension Mohalla Street","560051","Bangalore","Bangalore","Karnataka"
"Shivaji Road","560051","Bangalore","Bangalore","Karnataka"
"Station Road","560051","Bangalore","Bangalore","Karnataka"
"Sultaji Gunta Road","560051","Bangalore","Bangalore","Karnataka"
"Thimmaiah Road","560051","Bangalore","Bangalore","Karnataka"
"Venkatappa Road","560051","Bangalore","Bangalore","Karnataka"
"Cunningham Road","560052","Bangalore","Bangalore","Karnataka"
"Vasantanagar","560052","Bangalore","Bangalore","Karnataka"
"Balepet","560053","Bangalore","Bangalore","Karnataka"
"Belimutt Road","560053","Bangalore","Bangalore","Karnataka"
"Chickpet","560053","Bangalore","Bangalore","Karnataka"
"Cottonpet","560053","Bangalore","Bangalore","Karnataka"
"Gokula","560054","Bangalore","Bangalore","Karnataka"
"Gokula Extn","560054","Bangalore","Bangalore","Karnataka"
"Mathikere","560054","Bangalore","Bangalore","Karnataka"
"Malleswaram West","560055","Bangalore","Bangalore","Karnataka"
"Milk Colony","560055","Bangalore","Bangalore","Karnataka"
"Vishwavidyalaya","560056","Bangalore","Bangalore","Karnataka"
"Dasarahalli","560057","Dasarahalli","Bangalore","Karnataka"
"Madivala","560058","Bangalore","Bangalore","Karnataka"
"Peenya","560058","Bangalore","Bangalore","Karnataka"
"Peenya Ii Stage","560058","Bangalore","Bangalore","Karnataka"
"Peenya Small Scale Indust","560058","Bangalore","Bangalore","Karnataka"
"R V Niketan","560059","Bangalore","Bangalore","Karnataka"
"Kengeri","560060","Kengeri","Bangalore","Karnataka"
"Subramanyapura","560061","Bangalore","Bangalore","Karnataka"
"Doddakallasandra","560062","Bangalore","Bangalore","Karnataka"
"Bsf Campus Yelahanka","560063","Bangalore","Bangalore","Karnataka"
"Yelahanka","560063","Yelahanka","Bangalore","Karnataka"
"Yelabanka","560064","Bangalore","Bangalore","Karnataka"
"Yelahanka Bazar","560064","Bangalore","Bangalore","Karnataka"
"Yelahanka Satellite Town","560064","Bangalore","Bangalore","Karnataka"
"Vigyana Kendra","560065","Bangalore","Bangalore","Karnataka"
"White Field","560066","Bangalore","Bangalore","Karnataka"
"Kadugodi","560067","Bangalore","Bangalore","Karnataka"
"Bommanahalli","560068","Bommanahalli","Bangalore","Karnataka"
"Jayanagar East","560069","Bangalore","Bangalore","Karnataka"
"Banashankari Llst","560070","Bangalore","Bangalore","Karnataka"
"Padmanabhanagar","560070","Bangalore","Bangalore","Karnataka"
"Domlur","560071","Bangalore","Bangalore","Karnataka"
"Nagarbhavi","560072","Bangalore","Bangalore","Karnataka"
"Chikkabiadarekal","560073","Bangalore","Bangalore","Karnataka"
"Nagasandra","560073","Bangalore","Bangalore","Karnataka"
"Kumbalagodu","560074","Bangalore","Bangalore","Karnataka"
"Jeevanbheemanagar","560075","Bangalore","Bangalore","Karnataka"
"New Thippasandra","560075","Bangalore","Bangalore","Karnataka"
"Bannerghata Road","560076","Bangalore","Bangalore","Karnataka"
"Kothanur","560077","Bangalore","Bangalore","Karnataka"
"Jayaprakash Naryan Nagar","560078","Bangalore","Bangalore","Karnataka"
"Yelachenahalli","560078","Bangalore","Bangalore","Karnataka"
"Agrahara Dasarahalli","560079","Bangalore","Bangalore","Karnataka"
"Saneguruvanahalli","560079","Bangalore","Bangalore","Karnataka"
"Vijayanagar North","560079","Bangalore","Bangalore","Karnataka"
"Palace Orchards","560080","Bangalore","Bangalore","Karnataka"
"Sadashivnagar","560080","Bangalore","Bangalore","Karnataka"
"Tavarekere","560081","Bangalore","Bangalore","Karnataka"
"Jayanagar Vii Block","560082","Bangalore","Bangalore","Karnataka"
"Jayanagar West","560082","Bangalore","Bangalore","Karnataka"
"Yediyur","560082","Bangalore","Bangalore","Karnataka"
"Bannerghatta","560083","Bangalore","Bangalore","Karnataka"
"Lingarajapuram","560084","Bangalore","Bangalore","Karnataka"
"St Thomas Town","560084","Bangalore","Bangalore","Karnataka"
"Banashankjari Iiist","560085","Bangalore","Bangalore","Karnataka"
"Avani Sringeri Mutt","560086","Bangalore","Bangalore","Karnataka"
"Basaveshwar Nagar Ii Stage","560086","Bangalore","Bangalore","Karnataka"
"Basaveshwar Nagar Iii Stag","560086","Bangalore","Bangalore","Karnataka"
"Mahalakshmipuram Layout","560086","Bangalore","Bangalore","Karnataka"
"Varthur","560087","Bangalore","Bangalore","Karnataka"
"Hessarghatta","560088","Bangalore","Bangalore","Karnataka"
"Hessarghattalake","560089","Bangalore","Bangalore","Karnataka"
"Chikkabanavara","560090","Bangalore","Bangalore","Karnataka"
"Bapagram","560091","Bangalore","Bangalore","Karnataka"
"Viswaneedam","560091","Bangalore","Bangalore","Karnataka"
"Byatarayanapura","560092","Byatarayanapura","Bangalore","Karnataka"
"Vidyaranyapura","560097","Bangalore","Bangalore","Karnataka"
"Kudur","561101","Bangalore","Bangalore","Karnataka"
"V G Doddi","561201","Bangalore","Bangalore","Karnataka"
"Pavagada","561202","Pavagada","Tumkur","Karnataka"
"Pavagada Fort","561202","Tumkur","Tumkur","Karnataka"
"Dodaballapur Bazar","561203","Bangalore","Bangalore","Karnataka"
"Dodballapur","561203","Bangalore","Bangalore","Karnataka"
"Kongadiappa Road","561203","Bangalore","Bangalore","Karnataka"
"Doddabelavangala","561204","Bangalore","Bangalore","Karnataka"
"Melekote","561205","Bangalore","Bangalore","Karnataka"
"Darinayakanapalya","561206","Kolar","Kolar","Karnataka"
"Bagepalli","561207","Bagepalli","Kolar","Karnataka"
"Gauribidanur","561208","Gauribidanur","Kolar","Karnataka"
"Gauribidanur Bazar","561208","Kolar","Kolar","Karnataka"
"Hossur","561210","Chitapur","Kolar","Karnataka"
"Manchenathalli","561211","Kolar","Kolar","Karnataka"
"Pathapalya","561212","Bagepalli","Kolar","Karnataka"
"Thondebhavi","561213","Gauribidanur","Kolar","Karnataka"
"Byadanur","561214","Bangalore","Bangalore","Karnataka"
"Kotagudda","561215","Bangalore","Bangalore","Karnataka"
"Venkatapura","561216","Venkatapura","Bangalore","Karnataka"
"Viduraswatha","561217","Kolar","Kolar","Karnataka"
"Gulur Kolar","561218","Kolar","Kolar","Karnataka"
"Kalludi","561219","Gauribidanur","Kolar","Karnataka"
"Tholapalli","561221","Kolar","Kolar","Karnataka"
"Balareddipalli","561222","Bagepalli","Kolar","Karnataka"
"Somanathapura","561223","Kolar","Kolar","Karnataka"
"Alipura","561224","Kolar","Kolar","Karnataka"
"S S Ghati","561225","Kolar","Kolar","Karnataka"
"Tubagere","561226","Bangalore","Bangalore","Karnataka"
"Sailapura","561227","Bangalore","Bangalore","Karnataka"
"Chikballapur","562101","Bangalore","Bangalore","Karnataka"
"Chikballapur","562101","Bangalore","Bangalore","Karnataka"
"Mandy Bazar","562101","Bangalore","Bangalore","Karnataka"
"Subrayanpet Chikballarpu","562101","Bangalore","Bangalore","Karnataka"
"Town Hall Square","562101","Bangalore","Bangalore","Karnataka"
"Mellur","562102","Kolar","Kolar","Karnataka"
"Nandi","562103","Belgaum","Kolar","Karnataka"
"Peresandra","562104","Chik Ballapur","Kolar","Karnataka"
"Sidlaghatta","562105","Sidlaghatta","Kolar","Karnataka"
"Sidlaghatta Bazar","562105","Kolar","Kolar","Karnataka"
"Anekal","562106","Anekal","Bangalore","Karnataka"
"Attibele","562107","Bangalore","Bangalore","Karnataka"
"Abbur","562108","Bangalore","Bangalore","Karnataka"
"Bevuar","562108","Bangalore","Bangalore","Karnataka"
"Bidadi","562109","Bangalore","Bangalore","Karnataka"
"Devanahalli","562110","Bangalore","Bangalore","Karnataka"
"Devanalli Fort","562110","Bangalore","Bangalore","Karnataka"
"Dobespet","562111","Bangalore","Bangalore","Karnataka"
"Harohalli Channapatna","562112","Bangalore","Bangalore","Karnataka"
"Hoskote","562114","Hoskote","Bangalore","Karnataka"
"Dibburahalli","562115","Bangalore","Bangalore","Karnataka"
"Mallur","562116","Dharwad","Dharwar","Karnataka"
"Kanakapura","562117","Kanakapura","Bangalore","Karnataka"
"Kanakapura Bazar","562117","Bangalore","Bangalore","Karnataka"
"Nandi Hills","562118","Chik Ballapur","Kolar","Karnataka"
"Kodihalli","562119","Bangalore","Bangalore","Karnataka"
"Magadi","562120","Magadi","Bangalore","Karnataka"
"Maralavadi","562121","Bangalore","Bangalore","Karnataka"
"Nandagudi","562122","Bangalore","Bangalore","Karnataka"
"Nelamangala","562123","Bangalore","Bangalore","Karnataka"
"Akkur","562124","Bangalore","Bangalore","Karnataka"
"Sarjapura","562125","Bangalore","Bangalore","Karnataka"
"Sathanur","562126","Bangalore","Bangalore","Karnataka"
"Solur","562127","Bangalore","Bangalore","Karnataka"
"Sugganahalli","562128","Bangalore","Bangalore","Karnataka"
"Sulebele","562129","Bangalore","Bangalore","Karnataka"
"Tavarekere","562130","Bangalore","Bangalore","Karnataka"
"Thippasandra","562131","Bangalore","Bangalore","Karnataka"
"Tyamagondlu","562132","Bangalore","Bangalore","Karnataka"
"Vidyanagar","562134","Bangalore","Bangalore","Karnataka"
"Vijayapura","562135","Vijayapura","Bangalore","Karnataka"
"Avathi","562136","Bangalore","Bangalore","Karnataka"
"Cpt","562137","Bangalore","Bangalore","Karnataka"
"Honganur Channapatna","562138","Bangalore","Bangalore","Karnataka"
"Shivagange","562139","Bangalore","Bangalore","Karnataka"
"Kodamballi","562140","Bangalore","Bangalore","Karnataka"
"Jodidasalrahalli","562141","Kolar","Kolar","Karnataka"
"Byramagala","562142","Bangalore","Bangalore","Karnataka"
"Chikkmuduvadi","562143","Bangalore","Bangalore","Karnataka"
